name,salary_from,salary_to,salary_currency,area_name,published_at
Стажёр 2D-художник персонажей,Санкт-Петербург,15000.0,30000.0,RUR,2022-12-29T02:19:59+0300
Инженер группы технического обслуживания,Южно-Сахалинск,100000.0,180000.0,RUR,2022-12-29T04:51:35+0300
Младший аналитик,Красноярск,,41500.0,RUR,2022-12-29T04:41:14+0300
Журналист/продюссер в Гродно,Гродно,500.0,1000.0,BYR,2022-12-29T01:53:46+0300
Механик по транспорту,Красноярск,50000.0,,RUR,2022-12-29T03:25:50+0300
Аналитик данных / Data Scientist (Middle),Новосибирск,140000.0,200000.0,RUR,2022-12-29T05:51:43+0300
Дизайнер,Бишкек,,34500.0,KGS,2022-12-29T05:27:22+0300
Системный администратор,Москва,50000.0,75000.0,RUR,2022-12-29T01:03:19+0300
Руководитель направления (электронные компоненты),Санкт-Петербург,150000.0,340000.0,RUR,2022-12-29T02:42:47+0300
Java-разработчик,Москва,150000.0,,RUR,2022-12-29T02:54:41+0300
Главный специалист (Пресс-служба),Омск,70000.0,,RUR,2022-12-29T05:12:22+0300
Аналитик данных / Data Scientist (Middle),Томск,140000.0,200000.0,RUR,2022-12-29T05:51:44+0300
Дизайнер - Менеджер стройки,Москва,100000.0,,RUR,2022-12-29T01:31:43+0300
Junior project manager в web-студию,Москва,45000.0,70000.0,RUR,2022-12-29T05:07:13+0300
SQL-разработчик,Новосибирск,140000.0,,RUR,2022-12-29T05:37:38+0300
Product Designer / Продуктовый дизайнер / UI дизайнер (удаленно),Москва,200000.0,300000.0,RUR,2022-12-29T02:03:01+0300
Системный администратор,Красногорск,50000.0,75000.0,RUR,2022-12-29T01:03:19+0300
Программист 1С (ученик),Владивосток,50000.0,130000.0,RUR,2022-12-29T04:37:28+0300
Системный администратор,Истра,50000.0,75000.0,RUR,2022-12-29T01:03:19+0300
DevOps / Системный администратор,Волгоград,40000.0,,RUR,2022-12-29T04:13:32+0300
"Back-end разработчик - стажер (php, Java/Kotlin)",Минск,15000.0,30000.0,RUR,2022-12-29T02:03:25+0300
Механик,Новосибирск,35000.0,,RUR,2022-12-29T05:24:33+0300
Автомеханик,Залари,,65000.0,RUR,2022-12-29T03:55:13+0300
Fullstack Developer (React.js),Москва,4000.0,,USD,2022-12-29T01:31:25+0300
Системный администратор,Иркутск,60000.0,60000.0,RUR,2022-12-29T04:09:44+0300
Дизайнер,Новосибирск,,75000.0,RUR,2022-12-29T05:19:43+0300
Инженер-электронщик,Санкт-Петербург,80000.0,80000.0,RUR,2022-12-29T00:24:32+0300
Механик,Иркутск,170000.0,,RUR,2022-12-29T04:50:37+0300
Системный администратор,Барнаул,55000.0,,RUR,2022-12-29T05:12:55+0300
Product manager / Продакт менеджер,Москва,150000.0,250000.0,RUR,2022-12-29T01:43:58+0300
Ведущий системный администратор,Новосибирск,80000.0,120000.0,RUR,2022-12-29T05:50:31+0300
Контролёр технического состояния транспортных средств,Новосибирск,45000.0,45000.0,RUR,2022-12-29T05:23:42+0300
Frontend-разработчик,Красноярск,100000.0,120000.0,RUR,2022-12-29T05:11:15+0300
Инженер по тестированию техники,Владивосток,60000.0,70000.0,RUR,2022-12-29T02:11:04+0300
Заточник,Иркутск,50000.0,,RUR,2022-12-29T03:02:00+0300
Инженер-машинист промышленного холодильного оборудования,Москва,93700.0,128000.0,RUR,2022-12-29T00:13:04+0300
Токарь-универсал,Таганрог,40000.0,,RUR,2022-12-29T00:21:51+0300
Техник,Владивосток,,55000.0,RUR,2022-12-29T04:35:24+0300
Аналитик базы данных,Хабаровск,40000.0,45000.0,RUR,2022-12-29T04:54:41+0300
PHP-программист middle laravel,Минск,4000.0,,BYR,2022-12-29T00:15:17+0300
Дизайнер/Графический дизайнер/Графический (web) дизайнер,Саранск,35000.0,50000.0,RUR,2022-12-29T00:27:56+0300
Сервисный инженер,Одинцово,40000.0,,RUR,2022-12-29T01:54:10+0300
Специалист службы технической поддержки,Красноярск,50000.0,70000.0,RUR,2022-12-29T04:11:10+0300
Разработчик C#,Новосибирск,80000.0,200000.0,RUR,2022-12-29T03:23:20+0300
Токарь,Хабаровск,50000.0,60000.0,RUR,2022-12-29T05:11:12+0300
Кромщик/оператор кромкооблицовочного станка,Люберцы,70000.0,80000.0,RUR,2022-12-29T00:39:09+0300
Региональный менеджер,Екатеринбург,68750.0,120000.0,RUR,2022-12-29T01:41:37+0300
Инженер-наладчик станков ЧПУ,Иркутск,40000.0,,RUR,2022-12-29T03:02:51+0300
Программист-разработчик 1С,Прокопьевск,50000.0,60000.0,RUR,2022-12-29T03:11:06+0300
Оператор станков с ЧПУ (металлообработка).,Томск,50000.0,,RUR,2022-12-29T05:55:42+0300
Администратор проекта,Кемерово,45000.0,45000.0,RUR,2022-12-29T05:46:22+0300
Инженер по безопасности дорожного движения,Иркутск,100000.0,,RUR,2022-12-29T04:50:32+0300
Программист 1C,Красноярск,100000.0,,RUR,2022-12-29T05:35:31+0300
Фрезеровщик (г. Кемерово),Юрга,,96000.0,RUR,2022-12-29T05:19:44+0300
Механик клинингового оборудования,Москва,70000.0,100000.0,RUR,2022-12-29T02:35:17+0300
Фрезеровщик (компенсация аренды жилья г. Кемерово),Мыски,,96000.0,RUR,2022-12-29T05:16:19+0300
Менеджер по продукту / Бренд менеджер,Москва,70000.0,130000.0,RUR,2022-12-29T00:53:24+0300
Junior project manager в web-студию,Минск,35000.0,60000.0,RUR,2022-12-29T01:36:42+0300
Экономист-аналитик,Ангарск,45000.0,,RUR,2022-12-29T03:57:14+0300
Станочник,Артем,50000.0,,RUR,2022-12-29T04:11:04+0300
Механик по ремонту тяжелой техники,Хабаровск,100000.0,,RUR,2022-12-29T04:35:22+0300
Автомеханик,Усолье-Сибирское,,65000.0,RUR,2022-12-29T03:55:16+0300
Инженер-теплотехник/монтажник,Новосибирск,60000.0,100000.0,RUR,2022-12-29T03:55:51+0300
"Механик в зерносушильный комплекс ""Мазалово""",Первомайское (Томская область),40000.0,45000.0,RUR,2022-12-29T05:16:43+0300
Инженер средств радио и телевидения (смена),Дальнегорск,48000.0,52000.0,RUR,2022-12-29T01:18:47+0300
Флорист-дизайнер,Томск,,36000.0,RUR,2022-12-29T04:43:49+0300
Теплотехник на кирпичный завод,Новосибирск,85000.0,90000.0,RUR,2022-12-29T04:19:09+0300
Бизнес-аналитик,Москва,150000.0,,RUR,2022-12-29T05:15:52+0300
Главный механик,Ярославль,40600.0,40600.0,RUR,2022-12-29T00:57:26+0300
Сервисный инженер ПНР (КОМАНДИРОВКИ),Новосибирск,70000.0,90000.0,RUR,2022-12-29T05:46:34+0300
Менеджер по приемке товара,Владивосток,46000.0,,RUR,2022-12-29T05:11:19+0300
Системный администратор,Владивосток,,70000.0,RUR,2022-12-29T02:00:05+0300
Механик тяжелой техники Caterpillar (цех),Хабаровск,60000.0,100000.0,RUR,2022-12-29T04:35:22+0300
Ведущий системный администратор,Новосибирск,50000.0,50000.0,RUR,2022-12-29T05:11:15+0300
Токарь-карусельщик,Иркутск,100000.0,,RUR,2022-12-29T03:02:24+0300
Механик по транспорту,Владивосток,50000.0,59000.0,RUR,2022-12-29T01:18:47+0300
Ведущий инженер отделения (информационных технологий и автоматизированных систем управления),Владивосток,55000.0,60000.0,RUR,2022-12-29T03:23:58+0300
Фрезеровщик,Кемерово,,96000.0,RUR,2022-12-29T04:39:42+0300
Токарь,Усть-Каменогорск,300000.0,300000.0,KZT,2022-12-29T05:23:34+0300
Менеджер отдела сервиса (Кассовое оборудование),Москва,80460.0,86200.0,RUR,2022-12-29T00:15:26+0300
Системный администратор (технологии Microsoft),Новосибирск,80000.0,150000.0,RUR,2022-12-29T05:32:31+0300
Инженер отдела сопровождения компьютерной техники,Петропавловск-Камчатский,60000.0,65000.0,RUR,2022-12-29T00:36:44+0300
Инженер-программист отдела системного и сетевого администрирования,Петропавловск-Камчатский,62000.0,68000.0,RUR,2022-12-29T00:36:47+0300
Слесарь,Новосибирск,,45000.0,RUR,2022-12-29T05:12:02+0300
Кладовщик/Сервисный инженер,Новокузнецк,40000.0,50000.0,RUR,2022-12-29T05:11:05+0300
Токарь-расточник,Иркутск,100000.0,,RUR,2022-12-29T03:01:56+0300
Специалист по сервисному обслуживанию банковского оборудования,Анадырь,65000.0,,RUR,2022-12-29T03:51:47+0300
Механик по сервису (Дистрибьютор строительной техники Сase),Новосибирск,50000.0,160000.0,RUR,2022-12-29T04:39:02+0300
Инженер средств радио и телевидения,Спасск-Дальний,37000.0,42000.0,RUR,2022-12-29T01:18:47+0300
Оформитель торгового комплекса (д. Елино),Зеленоград,45000.0,55000.0,RUR,2022-12-29T03:19:32+0300
Мастер по ремонту оргтехники и заправке картриджей,Иркутск,50000.0,55000.0,RUR,2022-12-29T05:11:05+0300
Электромеханик,Уссурийск,30000.0,32000.0,RUR,2022-12-29T01:18:48+0300
Специалист по внедрению и сопровождению экономического ПО на платформе Гедымин,Минск,2500.0,,BYR,2022-12-29T01:20:00+0300
Автомеханик,Черемхово,,65000.0,RUR,2022-12-29T03:55:10+0300
Старший электромеханик,Дальнереченск,30000.0,39000.0,RUR,2022-12-29T01:18:47+0300
Оператор / наладчик токарных станков с ЧПУ (16М30Ф3; Ф3; CKE6180Z; Haas ST-30; Haas ST-20.0),Томск,50000.0,,RUR,2022-12-29T05:55:46+0300
Senior Android разработчик (удаленно),Санкт-Петербург,350000.0,,RUR,2022-12-29T00:01:32+0300
Теплотехник,Новосибирск,75000.0,85000.0,RUR,2022-12-29T04:19:13+0300
Инженер по координации (Сервисный отдел),Новосибирск,50000.0,80000.0,RUR,2022-12-29T05:46:30+0300
Менеджер (специалист) технической поддержки GPS/ГЛОНАСС систем,Новокузнецк,40000.0,,RUR,2022-12-29T05:11:05+0300
Программист 1C,Находка,100000.0,130000.0,RUR,2022-12-29T04:37:24+0300
Оформитель торгового комплекса (Пр-т Аксайский),Аксай (Ростовская область),34000.0,,RUR,2022-12-29T03:17:49+0300
Ведущий инженер-программист отдела ПиА,Петропавловск-Камчатский,68000.0,75000.0,RUR,2022-12-29T00:36:38+0300
Токарь (с функцией фрезеровки),Новосибирск,55000.0,60000.0,RUR,2022-12-29T05:46:43+0300
Специалист отдела IT,Хабаровск,40000.0,,RUR,2022-12-29T01:11:03+0300
Junior программист 1С,Владивосток,50000.0,80000.0,RUR,2022-12-29T03:54:05+0300
Фрезеровщик,Новосибирск,30000.0,30000.0,RUR,2022-12-29T05:24:32+0300
Электромеханик связи (техник связи),Новосибирск,39000.0,39000.0,RUR,2022-12-29T04:31:37+0300
Специалист по информационной безопасности,Новосибирск,35200.0,,RUR,2022-12-29T05:11:11+0300
Токарь-фрезеровщик,Иркутск,30000.0,,RUR,2022-12-29T05:11:06+0300
Младший специалист по закупкам (Категорийный менеджер),Владивосток,55000.0,65000.0,RUR,2022-12-29T05:11:17+0300
Токарь-карусельщик,Каменск-Уральский,80000.0,,RUR,2022-12-29T05:38:36+0300
Ведущий специалист отдела системного и сетевого администрирования,Петропавловск-Камчатский,68000.0,75000.0,RUR,2022-12-29T00:36:41+0300
Токарь-шлифовщик,Улан-Удэ,50000.0,,RUR,2022-12-29T04:11:12+0300
Технический консультант центра клиентской поддержки,Кемерово,32000.0,,RUR,2022-12-29T05:27:10+0300
Оформитель торгового комплекса,Челябинск,28800.0,31100.0,RUR,2022-12-29T03:19:44+0300
Middle программист 1С,Владивосток,150000.0,170000.0,RUR,2022-12-29T03:53:25+0300
Токарь-расточник,Новокузнецк,60000.0,70000.0,RUR,2022-12-29T04:56:08+0300
Программист 1С,Новосибирск,80000.0,80000.0,RUR,2022-12-29T04:31:37+0300
Ведущий инженер средств радио и телевидения,Уссурийск,55000.0,58000.0,RUR,2022-12-29T01:18:47+0300
"Мастер сервисного центра, ТЦ Фортуна Гранд",Иркутск,32300.0,,RUR,2022-12-29T03:58:24+0300
Ведущий-инженер программист (системный администратор),Владивосток,68000.0,75000.0,RUR,2022-12-29T01:18:47+0300
Ученик по ремонту и обслуживанию бытовой техники,Новосибирск,50000.0,,RUR,2022-12-29T04:56:49+0300
Токарь-расточник,Каменск-Уральский,80000.0,,RUR,2022-12-29T05:38:39+0300
Специалист по ремонту банковского оборудования,Свободный,55000.0,,RUR,2022-12-29T03:50:19+0300
Токарь 5-6 разряд,Каменск-Уральский,100000.0,110000.0,RUR,2022-12-29T05:38:33+0300
Старший электромеханик,Находка,33000.0,37000.0,RUR,2022-12-29T01:18:47+0300
Токарь,Новокузнецк,45000.0,,RUR,2022-12-29T05:35:55+0300
Токарь,Каменск-Уральский,70000.0,,RUR,2022-12-29T05:38:44+0300
Android Developer ( middle++\ senior),Новосибирск,250000.0,,RUR,2022-12-29T04:48:36+0300
Ведущий сервисный инженер по ремонту производственного оборудования,Новосибирск,,50000.0,RUR,2022-12-29T04:08:00+0300
Механик рефрижераторных установок,Новокузнецк,45000.0,45000.0,RUR,2022-12-29T04:19:40+0300
Оформитель торгового комплекса (улица Кузоваткина),Нижневартовск,39000.0,47000.0,RUR,2022-12-29T03:19:31+0300
Техник-механик по ремонту двигателей,Благовещенск (Амурская область),40000.0,100000.0,RUR,2022-12-29T02:11:04+0300
Водитель боевых и специальных машин (БиСМ),Санкт-Петербург,71000.0,,RUR,2022-12-29T11:15:41+0300
JavaScript-разработчик,Москва,30000.0,100000.0,RUR,2022-12-29T11:09:04+0300
Тестировщик (QA) детских образовательных игр,Иваново (Ивановская область),40000.0,40000.0,RUR,2022-12-29T09:45:04+0300
Вечерний сотрудник в отдел технической поддержки,Тбилиси,950.0,1250.0,USD,2022-12-29T11:51:43+0300
Системный администратор Windows,Краснодар,80000.0,150000.0,RUR,2022-12-29T09:23:41+0300
Системный администратор,Уфа,80000.0,,RUR,2022-12-29T10:48:46+0300
Системный администратор,Тамбов,46000.0,46000.0,RUR,2022-12-29T09:45:42+0300
Системный администратор,Павлодар,200000.0,,KZT,2022-12-29T06:03:07+0300
Дизайнер,Санкт-Петербург,50000.0,80000.0,RUR,2022-12-29T11:11:11+0300
Junior Python Backend Developer,Санкт-Петербург,,60000.0,RUR,2022-12-29T11:07:25+0300
Front-end Developer react,Челябинск,100000.0,160000.0,RUR,2022-12-29T09:32:21+0300
Системный администратор,Караганда,300000.0,350000.0,KZT,2022-12-29T08:11:25+0300
Дизайнер,Новосибирск,,50000.0,RUR,2022-12-29T11:27:13+0300
Графический дизайнер,Омск,35000.0,,RUR,2022-12-29T07:11:22+0300
Территориальный системный администратор,Санкт-Петербург,80400.0,92500.0,RUR,2022-12-29T10:06:06+0300
Редактор сообществ ВК,Санкт-Петербург,35000.0,,RUR,2022-12-29T11:40:50+0300
Инженер службы технической поддержки,Ставрополь,54000.0,54000.0,RUR,2022-12-29T08:22:06+0300
UX-UI дизайнер,Челябинск,40000.0,,RUR,2022-12-29T08:10:28+0300
2D Animator Spine,Минск,1700.0,2500.0,USD,2022-12-29T08:06:33+0300
Системный администратор,Новокузнецк,38000.0,,RUR,2022-12-29T06:06:19+0300
Системный администратор,Алматы,350000.0,350000.0,KZT,2022-12-29T07:40:02+0300
Junior +/Middle Java Spring Developer,Барнаул,50000.0,130000.0,RUR,2022-12-29T08:39:42+0300
Механик по выпуску автобусов,Омск,100000.0,100000.0,RUR,2022-12-29T07:09:44+0300
Специалист технической поддержки CRM-системы,Москва,100000.0,150000.0,RUR,2022-12-29T09:36:09+0300
Дизайнер,Санкт-Петербург,70000.0,,RUR,2022-12-29T11:44:45+0300
Графический дизайнер,Алматы,120000.0,120000.0,KZT,2022-12-29T09:33:18+0300
Python developer,Барнаул,40000.0,120000.0,RUR,2022-12-29T08:06:05+0300
Системный администратор,Уфа,45000.0,,RUR,2022-12-29T07:13:19+0300
Системный администратор,Москва,100000.0,,RUR,2022-12-29T11:15:45+0300
Механик,Чебоксары,65000.0,,RUR,2022-12-29T09:55:55+0300
Дизайнер-иллюстратор (Графический дизайнер),Алматы,250000.0,300000.0,KZT,2022-12-29T07:19:01+0300
Аналитик данных,Москва,180000.0,200000.0,RUR,2022-12-29T11:25:20+0300
Инженер,Санкт-Петербург,65000.0,,RUR,2022-12-29T11:13:39+0300
Системный администратор,Самара,80000.0,130000.0,RUR,2022-12-29T10:16:09+0300
Дизайнер,Алматы,250000.0,400000.0,KZT,2022-12-29T09:56:42+0300
Заместитель руководителя по проекту,Ташкент,8000000.0,15000000.0,UZS,2022-12-29T09:34:08+0300
Smm-специалист,Иркутск,34000.0,34000.0,RUR,2022-12-29T11:56:44+0300
Оператор станков с программным управлением,Нижний Новгород,65000.0,100000.0,RUR,2022-12-29T08:24:33+0300
Младший аналитик,Москва,,120000.0,RUR,2022-12-29T10:28:13+0300
Системный администратор,Краснодар,200000.0,,RUR,2022-12-29T09:09:56+0300
Специалист сервисного центра,Юрга,35000.0,45000.0,RUR,2022-12-29T06:58:14+0300
Помощник дизайнера (ассистент дизайнера),Москва,40000.0,50000.0,RUR,2022-12-29T11:13:44+0300
Системный администратор,Самара,40000.0,,RUR,2022-12-29T08:57:13+0300
Оператор станков с ПУ (УЧЕНИК),Екатеринбург,48000.0,80000.0,RUR,2022-12-29T06:23:13+0300
Инженер-электроник (АЭС),Санкт-Петербург,90000.0,,RUR,2022-12-29T11:48:10+0300
Веб-дизайнер (Офис на Пхукете),Таиланд,,70000.0,RUR,2022-12-29T11:45:09+0300
Начальник автотранспортного предприятия,Красноярск,130000.0,,RUR,2022-12-29T11:39:45+0300
Копирайтер,Гомель,600.0,,BYR,2022-12-29T11:36:28+0300
Специалист технической поддержки,Москва,80000.0,,RUR,2022-12-29T09:50:33+0300
Менеджер по продуктам,Алматы,400000.0,,KZT,2022-12-29T06:37:13+0300
Специалист службы поддержки пользователей,Санкт-Петербург,40000.0,40000.0,RUR,2022-12-29T08:48:35+0300
Младший разработчик,Пермь,45000.0,,RUR,2022-12-29T11:00:34+0300
Механик по транспорту и обслуживанию БРУ,Омск,150000.0,,RUR,2022-12-29T10:48:47+0300
Копирайтер (удалённо),Москва,30000.0,35000.0,RUR,2022-12-29T06:47:51+0300
Программист-разработчик C#,Астана,350000.0,,KZT,2022-12-29T06:57:47+0300
Системный администратор,Москва,120000.0,120000.0,RUR,2022-12-29T11:43:35+0300
Специалист по ИТ,Ростов-на-Дону,70000.0,,RUR,2022-12-29T11:27:26+0300
Менеджер проекта/Project Manager,Москва,150000.0,,RUR,2022-12-29T09:32:15+0300
Инженер технической поддержки,Уфа,35000.0,90000.0,RUR,2022-12-29T11:09:30+0300
Web-дизайнер,Екатеринбург,100000.0,,RUR,2022-12-29T08:19:57+0300
Начальник ремонтно-механической мастерской,Нижневартовск,150000.0,,RUR,2022-12-29T07:55:59+0300
